run_id,round_id,polymer_id,source_run_id,source_plate_id,denominator_source,source_fog,source_log_fog
fog_plate_aware_sync_2026-02-14,R3,GOx with DMSO,260209-1,plate1,same_plate,0.9670816570658561,-0.0334723433857843
fog_plate_aware_sync_2026-02-14,R3,PMBTA-1,260209-1,plate1,same_plate,0.6075840927854106,-0.4982646890090738
fog_plate_aware_sync_2026-02-14,R3,PMBTA-2,260209-1,plate1,same_plate,0.8938563721051337,-0.11221017431595921
fog_plate_aware_sync_2026-02-14,R3,PMBTA-3,260209-1,plate1,same_plate,1.179609067687257,0.16518308501595697
fog_plate_aware_sync_2026-02-14,R3,PMBTA-4,260209-1,plate1,same_plate,0.8427370985971165,-0.17110023368035054
fog_plate_aware_sync_2026-02-14,R3,PMBTA-5,260209-1,plate1,same_plate,0.8034924355426161,-0.21878750823268614
fog_plate_aware_sync_2026-02-14,R3,PMPC,260209-1,plate1,same_plate,1.130384649091661,0.12255797222843788
fog_plate_aware_sync_2026-02-14,R3,PMBTA-10,260209-1,plate2,same_round,0.7600383753542825,-0.27438635308931986
fog_plate_aware_sync_2026-02-14,R3,PMBTA-11,260209-1,plate2,same_round,0.8536327745538194,-0.15825418405008218
fog_plate_aware_sync_2026-02-14,R3,PMBTA-6,260209-1,plate2,same_round,0.759796818775084,-0.2747042251614571
fog_plate_aware_sync_2026-02-14,R3,PMBTA-7,260209-1,plate2,same_round,0.7986879954041829,-0.22478490334054357
fog_plate_aware_sync_2026-02-14,R3,PMBTA-8,260209-1,plate2,same_round,0.8657730447788528,-0.14413247777046684
fog_plate_aware_sync_2026-02-14,R3,PMBTA-9,260209-1,plate2,same_round,0.8155225270905708,-0.20392623364769477
fog_plate_aware_sync_2026-02-14,R3,PMTAC,260209-1,plate2,same_round,0.4371540033088563,-0.8274697356507289
fog_plate_aware_sync_2026-02-14,R3,background,260209-1,plate2,same_round,0.6194395666141341,-0.4789401345453089
fog_plate_aware_sync_2026-02-14,R3,GOx with DMSO,260209-2,plate1,same_plate,0.5082775208503405,-0.6767276796851628
fog_plate_aware_sync_2026-02-14,R3,PMBTA-1,260209-2,plate1,same_plate,0.47532685043588263,-0.7437526054032005
fog_plate_aware_sync_2026-02-14,R3,PMBTA-2,260209-2,plate1,same_plate,0.35841866423730073,-1.0260535226823297
fog_plate_aware_sync_2026-02-14,R3,PMBTA-3,260209-2,plate1,same_plate,0.5282890772866455,-0.6381116502354344
fog_plate_aware_sync_2026-02-14,R3,PMBTA-4,260209-2,plate1,same_plate,0.4638381210383861,-0.7682196647000896
fog_plate_aware_sync_2026-02-14,R3,PMBTA-5,260209-2,plate1,same_plate,0.4398335031494098,-0.8213590256150674
fog_plate_aware_sync_2026-02-14,R3,PMPC,260209-2,plate1,same_plate,0.6643466644842128,-0.40895118067810926
fog_plate_aware_sync_2026-02-14,R3,PMBTA-10,260209-2,plate2,same_round,1.345005155893106,0.296397846424229
