run_id,bo_run_id,polymer_id,mean_fog,mean_log_fog,n_observations,rounds,run_ids,rank_fog_desc
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,PMTAC,49.32112523806435,-0.018700899671908466,3,R1,260203-2,1
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,PMBTA-4,45.05479820235176,0.8658689957606847,5,"R1,R2,R3","260203-2,260204-1,260204-2",2
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,PMBTA-3,38.09763073225288,1.0394157821302183,5,"R1,R2,R3","260203-2,260204-1,260204-2",3
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,PMPC,34.912927486916686,0.5473832029999046,5,"R1,R2,R3","260203-2,260204-1,260204-2",4
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,PMBTA-5,31.81417014183966,0.1937198017677389,5,"R1,R2,R3","260203-2,260204-1,260204-2",5
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,PMBTA-2,29.542719372798807,0.48024767632010174,5,"R1,R2,R3","260203-2,260204-1,260204-2",6
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,PMBTA-1,6.963421859427848,0.09469971273288635,5,"R1,R2,R3","260203-2,260204-1,260204-2",7
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,PMBTA-10,0.8967434692660541,-0.1089854452658439,1,R3,260204-2,8
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,PMBTA-7,0.8824577434427171,-0.1250443741055588,2,"R2,R3","260204-1,260204-2",9
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,PMBTA-6,0.8275232524738343,-0.1893180724594423,2,"R2,R3","260204-1,260204-2",10
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,PMBTA-9,0.8201443242317812,-0.1982749490502206,1,R3,260204-2,11
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,PMBTA-8,0.7857194687121967,-0.2411554602958494,2,"R2,R3","260204-1,260204-2",12
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,PMBTA-11,0.7084115553466076,-0.3447300613112284,1,R3,260204-2,13
