run_id,bo_run_id,round_id,polymer_id,mean_fog,mean_log_fog,n_observations,run_ids,rank_fog_desc
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R1,PMBTA-4,74.41698016941936,1.4354754316205618,3,260203-2,1
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R1,PMBTA-3,62.798876145871795,1.7025287093213806,3,260203-2,2
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R1,PMPC,57.558076585161984,0.9498751193483815,3,260203-2,3
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R1,PMBTA-5,52.35457358442128,0.3204939106158851,3,260203-2,4
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R1,PMTAC,49.32112523806435,-0.018700899671908466,3,260203-2,5
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R1,PMBTA-2,48.57216834991226,0.8013828945937496,3,260203-2,6
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R1,PMBTA-1,10.926819971566628,0.14572697629339984,3,260203-2,7
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R2,PMBTA-3,1.0457626118245045,0.0447463913434748,1,260204-1,1
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R2,PMBTA-1,1.018324691219677,0.0181588173921161,1,260204-1,2
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R2,PMBTA-4,1.0115252517503712,0.011459341970869,1,260204-1,3
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R2,PMBTA-5,1.0035649779672229,0.0035586384955196,1,260204-1,4
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R2,PMBTA-2,0.998545907128626,-0.00145515109037,1,260204-1,5
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R2,PMPC,0.9452038395487394,-0.056354671522811,1,260204-1,6
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R2,PMBTA-7,0.8824577434427171,-0.1250443741055588,1,260204-1,7
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R2,PMBTA-6,0.8275232524738343,-0.1893180724594423,1,260204-1,8
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R2,PMBTA-8,0.7857194687121967,-0.2411554602958494,1,260204-1,9
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R3,PMBTA-3,1.0457626118245045,0.0447463913434748,1,260204-2,1
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R3,PMBTA-1,1.018324691219677,0.0181588173921161,1,260204-2,2
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R3,PMBTA-4,1.0115252517503712,0.011459341970869,1,260204-2,3
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R3,PMBTA-5,1.0035649779672229,0.0035586384955196,1,260204-2,4
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R3,PMBTA-2,0.998545907128626,-0.00145515109037,1,260204-2,5
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R3,PMPC,0.9452038395487394,-0.056354671522811,1,260204-2,6
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R3,PMBTA-10,0.8967434692660541,-0.1089854452658439,1,260204-2,7
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R3,PMBTA-7,0.8824577434427171,-0.1250443741055588,1,260204-2,8
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R3,PMBTA-6,0.8275232524738343,-0.1893180724594423,1,260204-2,9
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R3,PMBTA-9,0.8201443242317812,-0.1982749490502206,1,260204-2,10
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R3,PMBTA-8,0.7857194687121967,-0.2411554602958494,1,260204-2,11
bo_2026-02-05_14-44-26,bo_2026-02-05_14-44-26,R3,PMBTA-11,0.7084115553466076,-0.3447300613112284,1,260204-2,12
