Plate Type,96 WELL PLATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set Temperature,Setpoint 25°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Preheat before moving to next step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shake,Orbital: 0:05 (MM:SS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frequency: 282 cpm (3 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Kinetic,Runtime 0:10:00 (HH:MM:SS), Interval 0:00:30, 21 Reads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Read,Fluorescence Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A1..H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Filter Set 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Excitation: 540,  Emission: 590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Optics: Top,  Gain: 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Light Source: Xenon Flash,  Lamp Energy: High,  Standard Dynamic Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Read Height: 6.25 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Kinetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,T° 540,590,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:06,25,268,164,108,88,30,24,24,,,,,,122,128,114,128,108,60,50,,,,,,178,178,156,140,126,66,64,,,,,,80,150,162,140,156,114,68,50,,,,,228,216,186,180,186,78,62,,,,,,218,210,220,218,196,202,92,80,,,,,176,182,156,118,74,46,34,,,,,,202,232,184,108,54,32,30,,,,,,
0:00:36,25,482,340,198,112,38,28,28,,,,,,340,316,276,238,186,124,60,,,,,,362,390,354,294,220,108,82,,,,,,290,392,346,316,270,220,92,80,,,,,474,410,390,334,272,180,126,,,,,,450,462,458,400,394,330,162,106,,,,,388,384,292,186,132,48,40,,,,,,412,382,276,182,120,40,32,,,,,,
0:01:06,25,612,416,248,170,48,24,24,,,,,,616,528,476,364,276,152,100,,,,,,608,564,498,500,374,156,96,,,,,,470,616,500,478,444,378,192,104,,,,,694,650,550,510,420,270,138,,,,,,700,698,654,630,552,546,224,160,,,,,596,558,388,264,174,70,46,,,,,,562,588,448,234,148,62,38,,,,,,
0:01:36,25,804,466,338,194,66,34,34,,,,,,716,656,570,508,400,208,110,,,,,,850,724,660,578,470,210,144,,,,,,632,834,734,670,560,452,220,148,,,,,860,786,796,678,538,282,182,,,,,,800,918,794,798,762,588,276,228,,,,,730,674,508,370,240,90,46,,,,,,750,732,546,338,228,62,30,,,,,,
0:02:06,25,862,674,406,232,52,34,34,,,,,,902,794,724,674,532,220,140,,,,,,934,866,866,682,602,236,150,,,,,,828,898,876,732,650,550,286,192,,,,,934,928,900,752,688,410,230,,,,,,950,880,894,890,834,644,360,270,,,,,830,830,644,418,246,122,62,,,,,,868,828,636,418,270,74,30,,,,,,
0:02:36,25,818,756,454,242,86,52,52,,,,,,956,902,920,750,682,270,164,,,,,,868,926,884,782,690,284,214,,,,,,918,936,948,918,812,652,348,216,,,,,764,938,944,878,790,436,240,,,,,,900,828,882,876,898,810,436,254,,,,,854,940,782,534,362,142,72,,,,,,904,898,728,466,292,78,50,,,,,,
0:03:06,25.1,816,752,536,294,84,46,46,,,,,,826,862,880,808,716,332,218,,,,,,818,838,862,976,748,338,202,,,,,,908,800,822,964,892,736,416,236,,,,,784,758,794,866,904,546,336,,,,,,870,786,790,844,872,888,472,296,,,,,808,828,828,582,408,132,70,,,,,,820,888,796,510,304,98,46,,,,,,
0:03:36,25,784,898,522,348,98,48,48,,,,,,768,782,870,872,748,396,244,,,,,,758,792,788,866,838,376,208,,,,,,880,772,822,932,922,862,426,248,,,,,672,730,764,866,904,526,340,,,,,,794,700,712,794,816,904,538,384,,,,,762,786,934,678,470,178,94,,,,,,804,798,958,574,376,96,36,,,,,,
0:04:06,25,656,956,640,424,120,62,62,,,,,,688,762,812,860,854,464,252,,,,,,676,684,742,844,896,418,222,,,,,,822,666,748,826,872,922,456,298,,,,,598,680,740,784,854,642,422,,,,,,716,680,662,716,712,840,616,414,,,,,702,752,858,714,476,194,88,,,,,,712,800,930,662,388,110,54,,,,,,
0:04:36,25,636,866,670,418,108,58,58,,,,,,634,688,758,820,918,472,296,,,,,,634,628,706,794,886,494,280,,,,,,658,664,664,754,810,1000,516,358,,,,,646,610,622,704,804,674,432,,,,,,670,608,668,670,712,818,686,460,,,,,672,676,868,854,552,184,120,,,,,,650,704,824,688,474,126,70,,,,,,
0:05:06,25,620,842,720,448,118,50,50,,,,,,584,642,686,798,868,528,332,,,,,,622,548,636,714,892,498,284,,,,,,646,550,626,694,718,942,580,380,,,,,548,546,592,670,708,714,486,,,,,,652,584,574,652,724,750,650,486,,,,,592,642,768,870,612,206,94,,,,,,634,688,762,752,448,122,48,,,,,,
0:05:36,25,562,696,766,536,132,50,50,,,,,,558,660,606,686,904,556,334,,,,,,522,544,596,668,842,564,304,,,,,,638,558,606,666,688,812,606,364,,,,,490,516,582,632,710,744,486,,,,,,584,546,578,584,636,712,776,518,,,,,590,600,666,862,660,280,112,,,,,,600,624,738,764,528,132,74,,,,,,
0:06:06,25,554,696,842,508,142,56,56,,,,,,564,554,556,726,766,496,384,,,,,,504,524,544,566,846,536,306,,,,,,568,532,556,580,646,790,650,394,,,,,522,464,548,594,636,870,486,,,,,,530,468,496,530,540,600,740,572,,,,,522,588,642,862,728,240,156,,,,,,536,624,714,826,532,158,66,,,,,,
0:06:36,25,476,686,846,546,134,60,60,,,,,,474,480,534,608,726,620,396,,,,,,452,524,554,552,768,632,364,,,,,,500,490,476,568,640,762,752,434,,,,,472,488,476,562,588,888,536,,,,,,490,474,490,490,574,576,836,584,,,,,496,528,602,854,714,254,126,,,,,,502,578,682,878,592,130,72,,,,,,
0:07:06,25,424,592,876,632,164,78,78,,,,,,474,476,520,552,656,724,416,,,,,,412,446,514,544,670,700,398,,,,,,462,456,470,490,538,694,778,478,,,,,396,434,422,516,576,914,556,,,,,,438,410,468,438,466,542,876,626,,,,,420,490,522,790,766,262,148,,,,,,446,496,560,898,604,164,90,,,,,,
0:07:36,25,424,500,860,658,152,64,64,,,,,,428,466,456,500,620,708,446,,,,,,422,454,450,456,604,662,412,,,,,,432,438,434,496,532,642,742,462,,,,,396,394,380,452,460,858,632,,,,,,438,404,432,438,454,504,926,658,,,,,458,464,500,802,800,284,158,,,,,,502,466,564,934,670,150,82,,,,,,
0:08:06,25,392,506,822,674,168,92,92,,,,,,402,448,452,520,562,746,504,,,,,,412,404,444,506,620,708,442,,,,,,422,424,402,478,496,612,782,550,,,,,386,368,392,442,462,842,658,,,,,,442,336,338,442,430,484,902,674,,,,,364,442,498,750,808,324,152,,,,,,396,466,538,838,686,156,72,,,,,,
0:08:36,25,326,452,796,680,186,80,80,,,,,,420,388,406,474,604,786,516,,,,,,346,424,360,422,528,776,392,,,,,,374,330,368,452,464,510,852,598,,,,,306,348,376,422,452,870,700,,,,,,348,354,410,348,416,444,828,682,,,,,368,388,440,642,790,338,178,,,,,,340,370,472,788,696,208,100,,,,,,
0:09:06,25,332,460,752,744,180,76,76,,,,,,360,376,372,450,524,840,512,,,,,,342,308,358,442,478,774,460,,,,,,364,346,336,404,410,532,936,526,,,,,314,352,354,392,408,752,718,,,,,,326,306,374,326,416,436,838,792,,,,,352,368,460,616,954,320,176,,,,,,342,404,462,742,720,220,98,,,,,,
0:09:36,25.1,314,420,698,772,186,102,102,,,,,,354,346,342,396,496,878,550,,,,,,342,362,322,410,490,808,498,,,,,,318,328,356,364,418,464,908,654,,,,,308,320,336,336,388,724,838,,,,,,340,286,322,340,346,390,802,732,,,,,316,348,412,606,928,354,164,,,,,,328,334,414,734,788,180,110,,,,,,
0:10:06,25,244,366,678,804,180,98,98,,,,,,316,324,342,376,448,858,486,,,,,,328,332,306,340,450,842,510,,,,,,312,322,328,336,366,462,892,668,,,,,288,274,286,352,366,682,790,,,,,,312,290,302,312,352,344,774,796,,,,,298,328,382,536,928,378,176,,,,,,274,304,384,688,766,218,92,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,-5200,-4600,-6400,-5200,-7200,-6600,-6600,?????,?????,?????,?????,?????,Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.955,0.743,0.749,0.966,0.75,0.893,0.965,?????,?????,?????,?????,?????,R-Squared [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:09:06,0:05:06,0:04:36,0:08:36,0:03:36,0:02:36,0:01:36,?????,?????,?????,?????,?????,t at Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:06:57,0:03:40,0:03:47,0:04:45,0:02:53,0:01:14,0:00:58,?????,?????,?????,?????,?????,Lagtime [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:08:06,0:04:06,0:03:36,0:07:36,0:02:36,0:01:36,0:00:36,?????,?????,?????,?????,?????,Max V Calc - t min [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:10:06,0:06:06,0:05:36,0:09:36,0:04:36,0:03:36,0:02:36,?????,?????,?????,?????,?????,Max V Calc - t max [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,good,OUT-,OUT-,good,OUT-,OUT-,good,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,-6800,-6000,-8000,-6800,-7000,-6400,-8200,?????,?????,?????,?????,?????,Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.99,0.957,0.875,0.909,0.988,0.973,0.996,?????,?????,?????,?????,?????,R-Squared [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:02:36,0:03:36,0:02:36,0:03:06,0:03:06,0:01:06,0:02:06,?????,?????,?????,?????,?????,t at Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:01:41,0:01:26,0:01:35,0:01:24,0:01:15,0:00:06,0:00:54,?????,?????,?????,?????,?????,Lagtime [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:01:36,0:02:36,0:01:36,0:02:06,0:02:06,0:00:06,0:01:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:03:36,0:04:36,0:03:36,0:04:06,0:04:06,0:02:06,0:03:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,best,good,OUT-,OUT-,best,good,best,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,-6600,-6800,-7800,-8600,2200,-11400,-29400,?????,?????,?????,?????,?????,Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.899,0.912,0.983,0.906,0.917,0.991,0.979,?????,?????,?????,?????,?????,R-Squared [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:03:06,0:02:06,0:01:06,0:08:06,0:02:06,0:01:36,0:02:36,?????,?????,?????,?????,?????,t at Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:00:28,?????,0:00:11,0:02:52,0:01:55,0:00:22,0:00:29,?????,?????,?????,?????,?????,Lagtime [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:02:06,0:01:06,0:00:06,0:07:06,0:01:06,0:00:36,0:01:36,?????,?????,?????,?????,?????,Max V Calc - t min [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:04:06,0:03:06,0:02:06,0:09:06,0:03:06,0:02:36,0:03:36,?????,?????,?????,?????,?????,Max V Calc - t max [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OUT-,OUT-,best,OUT-,OUT-,best,good,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OUT-,OUT-,OUT-,OUT-,,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,-11200,-11400,-15000,-25000,-9400,-108800,-92400,?????,?????,?????,?????,?????,Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.958,0.973,0.995,0.997,0.928,0.989,0.88,?????,?????,?????,?????,?????,R-Squared [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:04:06,0:01:06,0:02:06,0:03:06,0:01:36,0:01:36,0:03:06,?????,?????,?????,?????,?????,t at Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:01:18,0:00:13,0:00:32,0:00:58,0:00:26,0:00:11,0:01:08,?????,?????,?????,?????,?????,Lagtime [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:03:06,0:00:06,0:01:06,0:02:06,0:00:36,0:00:36,0:02:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:05:06,0:02:06,0:03:06,0:04:06,0:02:36,0:02:36,0:04:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,good,good,best,best,OUT-,best,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,-45200,2033400,600,600,600,-600,-1200,?????,?????,?????,?????,?????,Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.959,0.995,0.281,0.75,0.75,0.75,0.529,?????,?????,?????,?????,?????,R-Squared [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:05:06,0:01:06,0:05:06,0:03:36,0:03:36,0:01:36,0:05:06,?????,?????,?????,?????,?????,t at Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:01:26,?????,0:04:06,0:02:56,0:04:16,0:02:36,0:04:56,?????,?????,?????,?????,?????,Lagtime [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:04:06,0:00:06,0:04:06,0:02:36,0:02:36,0:00:36,0:04:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:06:06,0:02:06,0:06:06,0:04:36,0:04:36,0:02:36,0:06:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,good,best,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
