plate_id,time_s,well,signal,source_file,row,polymer_id,sample_name
plate1,6.0,A1,803.0,1-testdata.csv,A,GOx,
plate1,36.0,A1,958.0,1-testdata.csv,A,GOx,
plate1,66.0,A1,1103.0,1-testdata.csv,A,GOx,
plate1,96.0,A1,1236.0,1-testdata.csv,A,GOx,
plate1,126.0,A1,1409.0,1-testdata.csv,A,GOx,
plate1,156.0,A1,1554.0,1-testdata.csv,A,GOx,
plate1,186.0,A1,1694.0,1-testdata.csv,A,GOx,
plate1,216.0,A1,1855.0,1-testdata.csv,A,GOx,
plate1,246.0,A1,2003.0,1-testdata.csv,A,GOx,
plate1,276.0,A1,2152.0,1-testdata.csv,A,GOx,
plate1,306.0,A1,2300.0,1-testdata.csv,A,GOx,
plate1,336.0,A1,2455.0,1-testdata.csv,A,GOx,
plate1,366.0,A1,2592.0,1-testdata.csv,A,GOx,
plate1,396.0,A1,2748.0,1-testdata.csv,A,GOx,
plate1,426.0,A1,2895.0,1-testdata.csv,A,GOx,
plate1,456.0,A1,3055.0,1-testdata.csv,A,GOx,
plate1,486.0,A1,3200.0,1-testdata.csv,A,GOx,
plate1,516.0,A1,3347.0,1-testdata.csv,A,GOx,
plate1,546.0,A1,3492.0,1-testdata.csv,A,GOx,
plate1,576.0,A1,3647.0,1-testdata.csv,A,GOx,
plate1,606.0,A1,3800.0,1-testdata.csv,A,GOx,
plate1,6.0,A2,801.0,1-testdata.csv,A,GOx,
plate1,36.0,A2,922.0,1-testdata.csv,A,GOx,
plate1,66.0,A2,1050.0,1-testdata.csv,A,GOx,
plate1,96.0,A2,1158.0,1-testdata.csv,A,GOx,
plate1,126.0,A2,1327.0,1-testdata.csv,A,GOx,
plate1,156.0,A2,1448.0,1-testdata.csv,A,GOx,
plate1,186.0,A2,1561.0,1-testdata.csv,A,GOx,
plate1,216.0,A2,1700.0,1-testdata.csv,A,GOx,
plate1,246.0,A2,1822.0,1-testdata.csv,A,GOx,
plate1,276.0,A2,1941.0,1-testdata.csv,A,GOx,
plate1,306.0,A2,2084.0,1-testdata.csv,A,GOx,
plate1,336.0,A2,2199.0,1-testdata.csv,A,GOx,
plate1,366.0,A2,2326.0,1-testdata.csv,A,GOx,
plate1,396.0,A2,2449.0,1-testdata.csv,A,GOx,
plate1,426.0,A2,2589.0,1-testdata.csv,A,GOx,
plate1,456.0,A2,2711.0,1-testdata.csv,A,GOx,
plate1,486.0,A2,2845.0,1-testdata.csv,A,GOx,
plate1,516.0,A2,2961.0,1-testdata.csv,A,GOx,
plate1,546.0,A2,3096.0,1-testdata.csv,A,GOx,
plate1,576.0,A2,3213.0,1-testdata.csv,A,GOx,
plate1,606.0,A2,3358.0,1-testdata.csv,A,GOx,
plate1,6.0,A3,820.0,1-testdata.csv,A,GOx,
plate1,36.0,A3,879.0,1-testdata.csv,A,GOx,
plate1,66.0,A3,1014.0,1-testdata.csv,A,GOx,
plate1,96.0,A3,1109.0,1-testdata.csv,A,GOx,
plate1,126.0,A3,1215.0,1-testdata.csv,A,GOx,
plate1,156.0,A3,1322.0,1-testdata.csv,A,GOx,
plate1,186.0,A3,1409.0,1-testdata.csv,A,GOx,
plate1,216.0,A3,1532.0,1-testdata.csv,A,GOx,
plate1,246.0,A3,1631.0,1-testdata.csv,A,GOx,
plate1,276.0,A3,1778.0,1-testdata.csv,A,GOx,
plate1,306.0,A3,1852.0,1-testdata.csv,A,GOx,
plate1,336.0,A3,1951.0,1-testdata.csv,A,GOx,
plate1,366.0,A3,2057.0,1-testdata.csv,A,GOx,
plate1,396.0,A3,2158.0,1-testdata.csv,A,GOx,
plate1,426.0,A3,2259.0,1-testdata.csv,A,GOx,
plate1,456.0,A3,2371.0,1-testdata.csv,A,GOx,
plate1,486.0,A3,2484.0,1-testdata.csv,A,GOx,
plate1,516.0,A3,2582.0,1-testdata.csv,A,GOx,
plate1,546.0,A3,2699.0,1-testdata.csv,A,GOx,
plate1,576.0,A3,2793.0,1-testdata.csv,A,GOx,
plate1,606.0,A3,2900.0,1-testdata.csv,A,GOx,
plate1,6.0,A4,793.0,1-testdata.csv,A,GOx,
plate1,36.0,A4,873.0,1-testdata.csv,A,GOx,
plate1,66.0,A4,966.0,1-testdata.csv,A,GOx,
plate1,96.0,A4,1031.0,1-testdata.csv,A,GOx,
plate1,126.0,A4,1083.0,1-testdata.csv,A,GOx,
plate1,156.0,A4,1174.0,1-testdata.csv,A,GOx,
plate1,186.0,A4,1243.0,1-testdata.csv,A,GOx,
plate1,216.0,A4,1326.0,1-testdata.csv,A,GOx,
plate1,246.0,A4,1383.0,1-testdata.csv,A,GOx,
plate1,276.0,A4,1477.0,1-testdata.csv,A,GOx,
plate1,306.0,A4,1552.0,1-testdata.csv,A,GOx,
plate1,336.0,A4,1640.0,1-testdata.csv,A,GOx,
plate1,366.0,A4,1703.0,1-testdata.csv,A,GOx,
plate1,396.0,A4,1780.0,1-testdata.csv,A,GOx,
plate1,426.0,A4,1835.0,1-testdata.csv,A,GOx,
