plate_id,well,row,col,heat_min,polymer_id,sample_name,source_file,status,abs_activity,slope,intercept,r2,n,t_start,t_end,select_method,select_method_used,exclude_reason,dy,mono_frac,down_steps,pos_steps,rmse,snr,start_idx_used,pos_steps_eps,pos_eps,skip_indices,skip_count,baseline_abs_activity,REA_percent
plate1,A1,A,1,0.0,GOx_0_8,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.0241 (n=6, t_end=186s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,,,
plate1,A2,A,2,5.0,GOx_0_8,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=-0.0000 (n=7, t_end=456s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,,,
plate1,A3,A,3,10.0,GOx_0_8,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates left after filtering: all slopes were below slope_min (slope_min=0, slope range=[-0.0638095, -0.0265873]).",,,,,,,,,,,,,
plate1,A4,A,4,15.0,GOx_0_8,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.0017 (n=6, t_end=426s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,,,
plate1,A5,A,5,20.0,GOx_0_8,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates left after filtering: all slopes were below slope_min (slope_min=0, slope range=[-0.0916667, -0.0190476]).",,,,,,,,,,,,,
plate1,A6,A,6,40.0,GOx_0_8,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates left after filtering: all slopes were below slope_min (slope_min=0, slope range=[-0.0904762, -0.0447619]).",,,,,,,,,,,,,
plate1,B1,B,1,0.0,GOx_0_4,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates left after filtering: all slopes were below slope_min (slope_min=0, slope range=[-0.0936508, -0.0447619]).",,,,,,,,,,,,,
plate1,B2,B,2,5.0,GOx_0_4,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates left after filtering: all slopes were below slope_min (slope_min=0, slope range=[-0.12, -0.0371429]).",,,,,,,,,,,,,
plate1,B3,B,3,10.0,GOx_0_4,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates left after filtering: all slopes were below slope_min (slope_min=0, slope range=[-0.105714, -0.0409524]).",,,,,,,,,,,,,
plate1,B4,B,4,15.0,GOx_0_4,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates left after filtering: all slopes were below slope_min (slope_min=0, slope range=[-0.109524, -0.0333333]).",,,,,,,,,,,,,
