plate_id,well,row,col,heat_min,polymer_id,sample_name,source_file,status,abs_activity,slope,intercept,r2,n,t_start,t_end,select_method,select_method_used,exclude_reason,dy,mono_frac,down_steps,pos_steps,pos_steps_eps,pos_eps,rmse,snr,start_idx_used,skip_indices,skip_count,baseline_abs_activity,REA_percent
plate1,A1,A,1,0.0,GOx,,3platedata (2).csv,ok,274.44095238095224,274.44095238095224,14997.449523809535,0.8410843141131387,6,6.0,156.0,initial_positive,initial_positive,,32352.5,1.0,0,5,5,168.460425,6111.913344977001,5.293350571893905,0,,0,274.44095238095224,100.0
plate1,A2,A,2,5.0,GOx,,3platedata (2).csv,ok,271.41809523809513,271.41809523809513,11928.967619047628,0.884645470900962,6,6.0,156.0,initial_positive,initial_positive,,32152.0,1.0,0,5,5,224.61389999999997,5021.531002861419,6.402828137808731,0,,0,274.44095238095224,98.89854006239526
plate1,A3,A,3,10.0,GOx,,3platedata (2).csv,ok,260.67142857142846,260.67142857142846,9150.44761904763,0.9216005253209674,6,6.0,156.0,initial_positive,initial_positive,,31045.0,1.0,0,5,5,488.70202499999994,3895.321477451947,7.969817171625976,0,,0,274.44095238095224,94.98270076310978
plate1,A4,A,4,15.0,GOx,,3platedata (2).csv,ok,314.3166666666666,314.3166666666666,3611.5999999999985,0.9816623776929075,4,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,28340.0,1.0,0,5,5,572.65425,1440.9008900684325,19.66825074183557,0,,0,274.44095238095224,114.52979737162651
plate1,A5,A,5,20.0,GOx,,3platedata (2).csv,ok,243.7166666666666,243.7166666666666,2291.199999999998,0.9904601007610139,4,6.0,96.0,initial_positive_ext_tangent,initial_positive_ext_tangent,,21931.0,1.0,0,5,5,1099.1625749999998,802.2595434147235,27.33653987667538,0,,0,274.44095238095224,88.8047736871146
plate1,A6,A,6,40.0,GOx,,3platedata (2).csv,ok,139.387619047619,139.387619047619,2170.1028571428596,0.9913401168825312,6,6.0,156.0,initial_positive_ext_tangent,initial_positive_ext_tangent,,20855.0,1.0,0,5,5,976.2921,667.47273174194,31.244722081115636,0,,0,274.44095238095224,50.78965724260229
plate1,A7,A,7,60.0,GOx,,3platedata (2).csv,ok,26.11818181818182,26.11818181818182,1005.5636363636348,0.9980408390757156,11,6.0,306.0,initial_positive_ext_tangent,initial_positive_ext_tangent,,7916.0,1.0,0,5,5,95.62769999999999,109.7804721529092,72.10754194037371,0,,0,274.44095238095224,9.516867505228264
plate1,B1,B,1,0.0,PMBTA-1,,3platedata (2).csv,ok,247.68857142857132,247.68857142857132,13928.392380952404,0.8395572737735773,6,6.0,156.0,initial_positive,initial_positive,,29248.0,1.0,0,5,5,198.48307499999999,5547.604276865683,5.272185711221042,0,,0,247.68857142857132,99.99999999999999
plate1,B2,B,2,5.0,PMBTA-1,,3platedata (2).csv,ok,16.555238095238046,16.555238095238046,44504.24000000002,0.9247171176402305,6,156.0,306.0,initial_positive,initial_positive,,1944.5,1.0,0,5,3,371.947275,242.01582002599892,8.034598729087632,0,,0,247.68857142857132,6.6838925993855405
plate1,B3,B,3,10.0,PMBTA-1,,3platedata (2).csv,ok,266.8895238095237,266.8895238095237,9196.615238095248,0.9227373744736271,6,6.0,156.0,initial_positive,initial_positive,,31732.5,1.0,0,5,5,380.2869,3956.779563920679,8.019779592815379,0,,0,247.68857142857132,107.75205423092747
plate1,B4,B,4,15.0,PMBTA-1,,3platedata (2).csv,ok,332.11333333333323,332.11333333333323,4044.7199999999966,0.9785106990945476,4,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,30132.0,1.0,0,5,5,561.53475,1650.786570093178,18.25311675409329,0,,0,247.68857142857132,134.085045352651
plate1,B5,B,5,20.0,PMBTA-1,,3platedata (2).csv,ok,250.20666666666665,250.20666666666665,2551.4599999999946,0.9907640804373206,4,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,22487.0,1.0,0,5,5,1009.094625,810.2706029469407,27.752456917744674,0,,0,247.68857142857132,101.01663763635598
plate1,B6,B,6,40.0,PMBTA-1,,3platedata (2).csv,ok,131.5059523809524,131.5059523809524,2361.5714285714366,0.9905221435340518,7,6.0,186.0,initial_positive_ext_tangent,initial_positive_ext_tangent,,23749.0,1.0,0,5,5,947.937375,771.8264020477401,30.76987252184075,0,,0,247.68857142857132,53.093266121435164
plate1,B7,B,7,60.0,PMBTA-1,,3platedata (2).csv,ok,19.314761904761905,19.314761904761905,1320.5400000000031,0.9978293448456635,21,6.0,606.0,initial_positive_ext,initial_positive_ext,,2770.5,1.0,0,5,5,75.6126,104.20602304135416,26.586754960416258,0,,0,247.68857142857132,7.7980028684254075
plate1,C1,C,1,0.0,PMBTA-2,,3platedata (2).csv,ok,4.036190476190455,4.036190476190455,47959.80190476193,0.9365373070199197,6,216.0,366.0,initial_positive,initial_positive,,511.0,1.0,0,5,2,164.01262499999999,53.83107027529835,9.492659116504225,0,,0,4.036190476190455,100.0
plate1,C2,C,2,5.0,PMBTA-2,,3platedata (2).csv,ok,263.3799999999999,263.3799999999999,12504.053333333339,0.8742789721794263,6,6.0,156.0,initial_positive,initial_positive,,31172.5,1.0,0,5,5,439.22024999999996,5117.129314588622,6.091794458101559,0,,0,4.036190476190455,6525.460122699419
plate1,C3,C,3,10.0,PMBTA-2,,3platedata (2).csv,ok,12.570476190476157,12.570476190476157,51301.15809523812,0.9432270517405996,6,216.0,366.0,initial_positive,initial_positive,,1513.5,1.0,0,5,3,329.13719999999995,158.00796644573902,9.57863096427949,0,,0,4.036190476190455,311.4440773949985
plate1,C4,C,4,15.0,PMBTA-2,,3platedata (2).csv,ok,309.91666666666663,309.91666666666663,3948.9999999999986,0.9774514500467496,4,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,28026.0,1.0,0,5,5,555.9749999999999,1578.8210395735164,17.751220244424022,0,,0,4.036190476190455,7678.445021236473
plate1,C5,C,5,20.0,PMBTA-2,,3platedata (2).csv,ok,256.72999999999996,256.72999999999996,2603.5199999999927,0.9885006001053841,4,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,23153.0,1.0,0,5,5,1058.020425,928.7567900155558,24.92902366787777,0,,0,4.036190476190455,6360.700802265253
