plate_id,well,row,col,heat_min,polymer_id,sample_name,source_file,status,abs_activity,slope,intercept,r2,n,t_start,t_end,select_method,select_method_used,exclude_reason,dy,mono_frac,down_steps,pos_steps,pos_steps_eps,pos_eps,rmse,snr,start_idx_used,skip_indices,skip_count
plate1,A1,A,1,0.0,GOx,,testdata_251109-GOx-1.csv,ok,5.806666666666666,5.806666666666666,30.35999999999984,0.9888245146406157,4,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,520.0,1.0,0,5,5,21.12705,20.705071842425458,25.114619449640145,0,,0
plate1,A2,A,2,5.0,GOx,,testdata_251109-GOx-1.csv,ok,3.868571428571427,3.868571428571427,105.64571428571446,0.9525181932695005,6,6.0,156.0,initial_positive,initial_positive,,466.0,1.0,0,5,4,57.8214,44.25295255148305,10.530370814418628,0,,0
plate1,A3,A,3,10.0,GOx,,testdata_251109-GOx-1.csv,ok,3.553333333333334,3.553333333333334,68.28000000000004,0.9888510644222602,5,6.0,126.0,initial_positive_ext_tangent,initial_positive_ext_tangent,,448.0,1.0,0,5,4,54.48554999999999,16.00749824301099,27.986884221310017,0,,0
plate1,A4,A,4,15.0,GOx,,testdata_251109-GOx-1.csv,ok,2.729523809523809,2.729523809523809,74.57523809523822,0.9893670377850137,6,6.0,156.0,initial_positive_ext_tangent,initial_positive_ext_tangent,,426.0,1.0,0,5,2,62.2692,14.49772833874767,29.38391381368434,0,,0
plate1,A5,A,5,20.0,GOx,,testdata_251109-GOx-1.csv,ok,2.1293650793650802,2.1293650793650802,80.39047619047605,0.9937444461148377,8,6.0,216.0,initial_positive_ext_tangent,initial_positive_ext_tangent,,454.0,1.0,0,5,4,28.9107,11.613057101301756,39.09392643467414,0,,0
plate1,A6,A,6,40.0,GOx,,testdata_251109-GOx-1.csv,ok,1.0715151515151518,1.0715151515151518,38.116363636363594,0.9895543272487828,11,6.0,306.0,initial_positive_ext_tangent,initial_positive_ext_tangent,,314.0,1.0,0,5,3,21.12705,10.444026328500572,30.065033361999415,0,,0
plate1,A7,A,7,60.0,GOx,,testdata_251109-GOx-1.csv,ok,0.59810379241517,0.59810379241517,22.64790419161684,0.9850148012560649,17,6.0,516.0,initial_positive_ext_intskip1,initial_positive_ext_intskip1,,308.0,1.0,0,6,2,13.343399999999999,11.655680095058269,26.424884475901003,0,12,1
plate1,B1,B,1,0.0,PMPC,,testdata_251109-GOx-1.csv,ok,4.933333333333333,4.933333333333333,59.39999999999988,0.9854237898146482,4,6.0,96.0,initial_positive_intskip1_tangent,initial_positive_intskip1_tangent,,456.0,1.0,0,5,4,63.381150000000005,20.124611797498112,22.65882217199674,0,5,1
plate1,B2,B,2,5.0,PMPC,,testdata_251109-GOx-1.csv,ok,4.46,4.46,22.04,0.9935753848886126,4,6.0,96.0,initial_positive_ext_tangent,initial_positive_ext_tangent,,408.0,1.0,0,5,3,72.27674999999999,12.02913130695646,33.91766118339894,0,,0
plate1,B3,B,3,10.0,PMPC,,testdata_251109-GOx-1.csv,ok,3.155555555555557,3.155555555555557,50.23333333333317,0.9764159182607582,8,6.0,216.0,initial_positive_ext,initial_positive_ext,,424.0,1.0,0,5,3,66.71699999999998,31.21619441332966,13.582693469481141,0,,0
plate1,B4,B,4,15.0,PMPC,,testdata_251109-GOx-1.csv,ok,2.1888888888888896,2.1888888888888896,45.533333333333175,0.9949822915178751,8,6.0,216.0,initial_positive_ext_intskip1_tangent,initial_positive_ext_intskip1_tangent,,468.0,1.0,0,5,3,52.261649999999996,10.684880283216401,43.80020997849469,0,14,1
plate1,B5,B,5,20.0,PMPC,,testdata_251109-GOx-1.csv,ok,1.55,1.55,84.86666666666665,0.9807011973875182,9,36.0,276.0,initial_positive_ext_tangent,initial_positive_ext_tangent,,374.0,1.0,0,6,3,35.5824,16.842406795546378,22.20585243784008,0,,0
