run_id,bo_run_id,polymer_id,round_id,frac_MPC,frac_BMA,frac_MTAC,log_fog,run_ids,n_observations,y,x,log_fog_raw,round_shift,log_fog_corrected
bo_2026-02-05_08-56-26,bo_2026-02-05_08-56-26,PMBTA-1,R1,0.8,0.04,0.16,0.1457269762933998,260203-2,3,0.2,0.19999999999999998,0.1457269762933998,-0.8681200167378713,-0.7223930404444715
bo_2026-02-05_08-56-26,bo_2026-02-05_08-56-26,PMBTA-2,R1,0.8,0.16,0.04,0.8013828945937496,260203-2,3,0.2,0.7999999999999999,0.8013828945937496,-0.8681200167378713,-0.06673712214412175
bo_2026-02-05_08-56-26,bo_2026-02-05_08-56-26,PMBTA-3,R1,0.3,0.14,0.56,1.7025287093213806,260203-2,3,0.7000000000000001,0.2,1.7025287093213806,-0.8681200167378713,0.8344086925835092
bo_2026-02-05_08-56-26,bo_2026-02-05_08-56-26,PMBTA-4,R1,0.3,0.56,0.14,1.4354754316205618,260203-2,3,0.7000000000000001,0.8,1.4354754316205618,-0.8681200167378713,0.5673554148826905
bo_2026-02-05_08-56-26,bo_2026-02-05_08-56-26,PMBTA-5,R1,0.55,0.225,0.225,0.3204939106158851,260203-2,3,0.45,0.5,0.3204939106158851,-0.8681200167378713,-0.5476261061219863
bo_2026-02-05_08-56-26,bo_2026-02-05_08-56-26,PMPC,R1,1.0,0.0,0.0,0.9498751193483816,260203-2,3,0.0,0.5,0.9498751193483816,-0.8681200167378713,0.08175510261051033
bo_2026-02-05_08-56-26,bo_2026-02-05_08-56-26,PMTAC,R1,0.0,0.0,1.0,-0.0187008996719084,260203-2,3,1.0,0.0,-0.0187008996719084,-0.8681200167378713,-0.8868209164097797
bo_2026-02-05_08-56-26,bo_2026-02-05_08-56-26,PMBTA-1,R2,0.8,0.04,0.16,0.0181588173921161,260204-1,1,0.2,0.19999999999999998,0.0181588173921161,0.0,0.0181588173921161
bo_2026-02-05_08-56-26,bo_2026-02-05_08-56-26,PMBTA-2,R2,0.8,0.16,0.04,-0.00145515109037,260204-1,1,0.2,0.7999999999999999,-0.00145515109037,0.0,-0.00145515109037
bo_2026-02-05_08-56-26,bo_2026-02-05_08-56-26,PMBTA-3,R2,0.3,0.14,0.56,0.0447463913434748,260204-1,1,0.7000000000000001,0.2,0.0447463913434748,0.0,0.0447463913434748
bo_2026-02-05_08-56-26,bo_2026-02-05_08-56-26,PMBTA-4,R2,0.3,0.56,0.14,0.011459341970869,260204-1,1,0.7000000000000001,0.8,0.011459341970869,0.0,0.011459341970869
bo_2026-02-05_08-56-26,bo_2026-02-05_08-56-26,PMBTA-5,R2,0.55,0.225,0.225,0.0035586384955196,260204-1,1,0.45,0.5,0.0035586384955196,0.0,0.0035586384955196
bo_2026-02-05_08-56-26,bo_2026-02-05_08-56-26,PMPC,R2,1.0,0.0,0.0,-0.056354671522811,260204-1,1,0.0,0.5,-0.056354671522811,0.0,-0.056354671522811
bo_2026-02-05_08-56-26,bo_2026-02-05_08-56-26,PMBTA-6,R2,0.348,0.443,0.209,-0.1893180724594423,260204-1,1,0.652,0.6794478527607362,-0.1893180724594423,0.0,-0.1893180724594423
bo_2026-02-05_08-56-26,bo_2026-02-05_08-56-26,PMBTA-7,R2,0.123,0.678,0.199,-0.1250443741055588,260204-1,1,0.877,0.77309007981756,-0.1250443741055588,0.0,-0.1250443741055588
bo_2026-02-05_08-56-26,bo_2026-02-05_08-56-26,PMBTA-8,R2,0.095,0.752,0.153,-0.2411554602958494,260204-1,1,0.905,0.830939226519337,-0.2411554602958494,0.0,-0.2411554602958494
bo_2026-02-05_08-56-26,bo_2026-02-05_08-56-26,PMBTA-1,R3,0.8,0.04,0.16,0.0181588173921161,260204-2,1,0.2,0.19999999999999998,0.0181588173921161,0.0,0.0181588173921161
bo_2026-02-05_08-56-26,bo_2026-02-05_08-56-26,PMBTA-2,R3,0.8,0.16,0.04,-0.00145515109037,260204-2,1,0.2,0.7999999999999999,-0.00145515109037,0.0,-0.00145515109037
bo_2026-02-05_08-56-26,bo_2026-02-05_08-56-26,PMBTA-3,R3,0.3,0.14,0.56,0.0447463913434748,260204-2,1,0.7000000000000001,0.2,0.0447463913434748,0.0,0.0447463913434748
bo_2026-02-05_08-56-26,bo_2026-02-05_08-56-26,PMBTA-4,R3,0.3,0.56,0.14,0.011459341970869,260204-2,1,0.7000000000000001,0.8,0.011459341970869,0.0,0.011459341970869
