plate_id,time_s,well,signal,source_file,row,polymer_id,sample_name,use_for_bo,include_in_all_polymers,all_polymers_pair,run_id
plate1,6.0,A1,434,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,36.0,A1,960,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,66.0,A1,1483,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,96.0,A1,1981,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,126.0,A1,2448,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,156.0,A1,2859,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,186.0,A1,3267,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,216.0,A1,3672,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,246.0,A1,4078,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,276.0,A1,4439,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,306.0,A1,4804,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,336.0,A1,5150,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,366.0,A1,5468,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,396.0,A1,5749,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,426.0,A1,6064,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,456.0,A1,6326,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,486.0,A1,6570,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,516.0,A1,6762,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,546.0,A1,7028,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,576.0,A1,7238,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,606.0,A1,7473,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,6.0,A2,493,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,36.0,A2,914,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,66.0,A2,1344,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,96.0,A2,1748,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,126.0,A2,2121,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,156.0,A2,2492,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,186.0,A2,2841,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,216.0,A2,3190,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,246.0,A2,3525,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
plate1,276.0,A2,3839,GOx_DMSO_EtOH.csv,A,GOx (heat time low C),,False,True,False,Organic_Concentration
