Plate Type,96 WELL PLATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set Temperature,Setpoint 25°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Preheat before moving to next step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shake,Orbital: 0:05 (MM:SS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frequency: 282 cpm (3 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Kinetic,Runtime 0:10:00 (HH:MM:SS), Interval 0:00:30, 21 Reads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Read,Fluorescence Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A1..H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Filter Set 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Excitation: 540,  Emission: 590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Optics: Top,  Gain: 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Light Source: Xenon Flash,  Lamp Energy: High,  Standard Dynamic Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Read Height: 6.25 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Kinetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,T° 540,590,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:06,25,803,801,820,793,791,810,800,0,0,0,0,0,846,805,748,800,764,858,746,0,0,0,0,0,802,801,796,802,811,807,801,0,0,0,0,0,805,801,790,790,784,806,787,0,0,0,0,0,806,790,816,793,795,786,787,0,0,0,0,0,817,785,797,808,815,807,793,0,0,0,0,0,777,791,785,832,780,778,806,0,0,0,0,0,813,812,811,749,831,759,900,0,0,0,0,0,
0:00:36,25,958,922,879,873,831,840,810,0,0,0,0,0,928,833,888,864,831,720,743,0,0,0,0,0,937,914,903,882,851,813,819,0,0,0,0,0,1224,1178,1118,1052,946,880,836,0,0,0,0,0,796,802,810,788,795,806,805,0,0,0,0,0,887,872,863,827,825,807,804,0,0,0,0,0,861,864,815,871,841,833,803,0,0,0,0,0,863,795,837,792,801,879,821,0,0,0,0,0,
0:01:06,25,1103,1050,1014,966,887,819,812,0,0,0,0,0,1015,1095,917,947,852,884,819,0,0,0,0,0,1117,1056,1015,955,896,828,804,0,0,0,0,0,1627,1509,1408,1230,1071,946,857,0,0,0,0,0,792,788,803,797,801,808,794,0,0,0,0,0,973,954,926,887,853,843,783,0,0,0,0,0,892,912,879,858,827,789,850,0,0,0,0,0,939,857,543,851,886,776,873,0,0,0,0,0,
0:01:36,25,1236,1158,1109,1031,939,866,813,0,0,0,0,0,1265,1148,1063,1004,913,950,860,0,0,0,0,0,1238,1179,1133,1028,936,878,825,0,0,0,0,0,1963,1807,1665,1432,1189,994,868,0,0,0,0,0,794,776,793,795,809,800,823,0,0,0,0,0,1074,1024,985,936,867,853,807,0,0,0,0,0,947,980,916,919,819,844,778,0,0,0,0,0,938,833,857,900,817,786,749,0,0,0,0,0,
0:02:06,25,1409,1327,1215,1083,991,900,825,0,0,0,0,0,1263,1200,1175,1129,1013,913,853,0,0,0,0,0,1407,1320,1233,1094,979,884,835,0,0,0,0,0,2209,2053,1886,1621,1315,1086,880,0,0,0,0,0,800,806,795,786,805,788,789,0,0,0,0,0,1162,1120,1059,982,900,843,821,0,0,0,0,0,1046,1000,963,896,901,857,805,0,0,0,0,0,934,951,965,838,793,828,820,0,0,0,0,0,
0:02:36,25,1554,1448,1322,1174,1026,926,827,0,0,0,0,0,1456,1431,1346,1207,971,974,846,0,0,0,0,0,1537,1444,1826,1163,1033,928,827,0,0,0,0,0,2443,2282,2080,1802,1444,1144,924,0,0,0,0,0,913,871,872,877,847,832,804,0,0,0,0,0,1229,1186,1112,1025,940,875,820,0,0,0,0,0,1105,1031,1008,939,917,840,809,0,0,0,0,0,849,943,850,625,830,818,843,0,0,0,0,0,
0:03:06,25,1694,1561,1409,1243,1064,941,845,0,0,0,0,0,1614,1537,1441,1205,1016,899,775,0,0,0,0,0,2184,1572,1445,1265,1068,1450,1356,0,0,0,0,0,2629,2494,2280,1943,1554,1191,935,0,0,0,0,0,1038,1015,976,932,872,820,811,0,0,0,0,0,1343,1249,1190,1069,971,884,797,0,0,0,0,0,1140,1117,1043,977,906,838,847,0,0,0,0,0,1010,933,913,871,820,801,823,0,0,0,0,0,
0:03:36,25,1855,1700,1532,1326,1107,972,865,0,0,0,0,0,1711,1530,1489,1258,1181,851,915,0,0,0,0,0,1843,1695,1540,1326,1620,952,858,0,0,0,0,0,2813,2655,2436,2079,1666,1260,967,0,0,0,0,0,1172,1094,1064,975,897,842,811,0,0,0,0,0,1434,1345,1239,1101,965,876,830,0,0,0,0,0,1210,1180,1074,1030,886,884,834,0,0,0,0,0,1017,1066,997,912,900,827,804,0,0,0,0,0,
0:04:06,25,2003,1822,1631,1383,1167,982,855,0,0,0,0,0,1864,1773,1583,1362,1023,943,755,0,0,0,0,0,1991,1818,1641,1402,1160,990,852,0,0,0,0,0,2970,2787,2574,2217,1761,1318,1003,0,0,0,0,0,1284,1209,1128,1038,943,873,829,0,0,0,0,0,1494,1406,1309,1165,1020,904,850,0,0,0,0,0,1277,1187,1150,997,962,885,862,0,0,0,0,0,1045,1059,994,877,929,849,833,0,0,0,0,0,
0:04:36,25,2152,1941,1778,1477,1221,1008,861,0,0,0,0,0,2047,1802,1665,1354,1132,1053,825,0,0,0,0,0,2140,1934,1734,1468,1198,998,856,0,0,0,0,0,3088,2914,2732,2328,1832,1410,1012,0,0,0,0,0,1422,1311,1211,1088,1002,897,838,0,0,0,0,0,1619,1496,1351,1210,1032,919,837,0,0,0,0,0,1344,1290,1158,1059,948,867,804,0,0,0,0,0,1051,1069,957,939,874,833,743,0,0,0,0,0,
0:05:06,25,2300,2084,1852,1552,1252,1026,879,0,0,0,0,0,2155,1898,1766,1488,1246,1072,837,0,0,0,0,0,2322,2066,1846,1571,1269,1036,880,0,0,0,0,0,3188,3026,2802,2452,1950,1431,1017,0,0,0,0,0,1509,1405,1305,1160,1028,913,833,0,0,0,0,0,2706,2579,2425,2245,2065,1948,1822,0,0,0,0,0,1383,1279,1183,1074,982,872,824,0,0,0,0,0,1131,1006,1060,982,920,831,857,0,0,0,0,0,
0:05:36,25,2455,2199,1951,1640,1282,1036,886,0,0,0,0,0,2390,2098,1825,1492,1219,1006,973,0,0,0,0,0,2457,2199,1955,2136,1276,1044,877,0,0,0,0,0,3283,3098,2940,2559,2053,1492,1056,0,0,0,0,0,1642,1521,1384,1212,1051,926,848,0,0,0,0,0,2777,2622,2492,2287,2101,1944,1855,0,0,0,0,0,1399,1282,1185,1054,948,842,771,0,0,0,0,0,1177,1083,1004,995,878,855,812,0,0,0,0,0,
0:06:06,25,2592,2326,2057,1703,1330,1061,891,0,0,0,0,0,2411,2140,1877,1635,1261,964,910,0,0,0,0,0,2615,2349,2068,1700,1353,1067,883,0,0,0,0,0,3358,3200,3010,2648,2117,1559,1065,0,0,0,0,0,1750,1600,1479,1286,1083,937,845,0,0,0,0,0,2896,2713,2544,2338,2119,1955,1867,0,0,0,0,0,1375,1296,1188,1043,886,779,702,0,0,0,0,0,1158,1122,1035,1009,634,788,836,0,0,0,0,0,
0:06:36,25,2748,2449,2158,1780,1401,1096,888,0,0,0,0,0,2552,2218,2114,1660,1238,1122,910,0,0,0,0,0,2750,2460,2156,1769,1376,1091,897,0,0,0,0,0,3422,3276,3097,2746,2192,1596,1097,0,0,0,0,0,1879,1728,1561,1338,1124,972,866,0,0,0,0,0,2970,2774,2625,2383,2154,1971,1850,0,0,0,0,0,1427,1278,1190,1021,843,731,631,0,0,0,0,0,1182,1092,1067,986,961,853,858,0,0,0,0,0,
0:07:06,25,2895,2589,2259,1835,1432,1109,904,0,0,0,0,0,2748,2376,2137,1769,1271,1047,990,0,0,0,0,0,2903,2578,2269,1871,1426,1110,917,0,0,0,0,0,3458,3348,3175,2823,2263,1657,1112,0,0,0,0,0,2016,1841,1632,1392,1159,991,851,0,0,0,0,0,3063,2872,2694,2409,2179,1995,1857,0,0,0,0,0,1386,1298,1184,996,827,659,604,0,0,0,0,0,1194,1221,1017,1020,920,801,862,0,0,0,0,0,
0:07:36,25,3055,2711,2371,1947,1457,1150,919,0,0,0,0,0,2876,2499,2110,1788,1464,1114,974,0,0,0,0,0,3061,3232,2372,1916,1470,1158,917,0,0,0,0,0,3544,3396,3249,2894,2329,1703,1153,0,0,0,0,0,2150,1930,1725,1457,1180,1002,866,0,0,0,0,0,3158,2946,2744,2479,2211,1999,1870,0,0,0,0,0,1409,1281,1113,960,759,620,508,0,0,0,0,0,1238,1178,1092,1028,984,843,797,0,0,0,0,0,
0:08:06,25,3200,2845,2484,1980,1519,1172,906,0,0,0,0,0,3027,2633,2283,1876,1530,1104,942,0,0,0,0,0,3190,2849,2481,1996,1529,1165,920,0,0,0,0,0,3556,3465,3290,2963,2408,1768,1152,0,0,0,0,0,2245,2028,1813,1515,1243,1020,871,0,0,0,0,0,3224,3008,2809,2527,2252,2018,1863,0,0,0,0,0,1425,1253,1072,918,741,597,493,0,0,0,0,0,1303,1251,1160,975,957,909,853,0,0,0,0,0,
0:08:36,25,3347,2961,2582,2086,1553,1200,922,0,0,0,0,0,3081,2710,2428,2013,1503,1149,872,0,0,0,0,0,3334,2975,2575,2089,1553,1185,925,0,0,0,0,0,3581,3490,3341,3046,2484,1809,1183,0,0,0,0,0,2366,2101,1871,1576,1270,1055,870,0,0,0,0,0,3329,3078,2869,2564,2268,2020,1868,0,0,0,0,0,1401,1257,1094,890,665,525,422,0,0,0,0,0,1312,1218,1140,1119,1006,880,794,0,0,0,0,0,
0:09:06,25,3492,3096,2699,2146,1603,1204,915,0,0,0,0,0,3262,2875,2465,2032,1492,1197,951,0,0,0,0,0,3509,3094,2681,2154,1618,1203,939,0,0,0,0,0,3638,3535,3408,3099,2541,1838,1207,0,0,0,0,0,2471,2232,1981,1632,1305,1040,870,0,0,0,0,0,3405,3163,2930,2617,2282,2049,1873,0,0,0,0,0,1427,1230,1097,880,631,468,377,0,0,0,0,0,1304,1262,1204,1078,901,837,831,0,0,0,0,0,
0:09:36,25,3647,3213,2793,2216,1650,1241,929,0,0,0,0,0,3312,2995,2538,2078,1492,1156,842,0,0,0,0,0,3641,3216,2790,2229,1658,1220,943,0,0,0,0,0,3673,3565,3455,3149,2589,1905,1209,0,0,0,0,0,2591,2336,2058,1673,1358,1055,887,0,0,0,0,0,3515,3260,2983,2646,2319,2053,1878,0,0,0,0,0,1381,1197,1035,823,600,427,301,0,0,0,0,0,1388,1241,1163,1097,983,909,771,0,0,0,0,0,
0:10:06,25,3800,3358,2900,2293,1692,1240,931,0,0,0,0,0,3485,3092,2604,2147,1600,1198,930,0,0,0,0,0,3796,3356,2916,2307,1701,1248,969,0,0,0,0,0,3678,3605,3489,3198,2632,1930,1225,0,0,0,0,0,2711,2432,2131,1766,1365,1085,895,0,0,0,0,0,3600,3323,3060,2685,2349,2074,1897,0,0,0,0,0,1408,1209,1088,800,555,406,268,0,0,0,0,0,1435,1296,1219,1109,1023,854,850,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,-5200,-4600,-6400,-5200,-7200,-6600,-6600,?????,?????,?????,?????,?????,Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.955,0.743,0.749,0.966,0.75,0.893,0.965,?????,?????,?????,?????,?????,R-Squared [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:09:06,0:05:06,0:04:36,0:08:36,0:03:36,0:02:36,0:01:36,?????,?????,?????,?????,?????,t at Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:06:57,0:03:40,0:03:47,0:04:45,0:02:53,0:01:14,0:00:58,?????,?????,?????,?????,?????,Lagtime [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:08:06,0:04:06,0:03:36,0:07:36,0:02:36,0:01:36,0:00:36,?????,?????,?????,?????,?????,Max V Calc - t min [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:10:06,0:06:06,0:05:36,0:09:36,0:04:36,0:03:36,0:02:36,?????,?????,?????,?????,?????,Max V Calc - t max [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,good,OUT-,OUT-,good,OUT-,OUT-,good,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,-6800,-6000,-8000,-6800,-7000,-6400,-8200,?????,?????,?????,?????,?????,Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.99,0.957,0.875,0.909,0.988,0.973,0.996,?????,?????,?????,?????,?????,R-Squared [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:02:36,0:03:36,0:02:36,0:03:06,0:03:06,0:01:06,0:02:06,?????,?????,?????,?????,?????,t at Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:01:41,0:01:26,0:01:35,0:01:24,0:01:15,0:00:06,0:00:54,?????,?????,?????,?????,?????,Lagtime [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:01:36,0:02:36,0:01:36,0:02:06,0:02:06,0:00:06,0:01:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:03:36,0:04:36,0:03:36,0:04:06,0:04:06,0:02:06,0:03:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,best,good,OUT-,OUT-,best,good,best,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,-6600,-6800,-7800,-8600,2200,-11400,-29400,?????,?????,?????,?????,?????,Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.899,0.912,0.983,0.906,0.917,0.991,0.979,?????,?????,?????,?????,?????,R-Squared [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:03:06,0:02:06,0:01:06,0:08:06,0:02:06,0:01:36,0:02:36,?????,?????,?????,?????,?????,t at Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:00:28,?????,0:00:11,0:02:52,0:01:55,0:00:22,0:00:29,?????,?????,?????,?????,?????,Lagtime [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:02:06,0:01:06,0:00:06,0:07:06,0:01:06,0:00:36,0:01:36,?????,?????,?????,?????,?????,Max V Calc - t min [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:04:06,0:03:06,0:02:06,0:09:06,0:03:06,0:02:36,0:03:36,?????,?????,?????,?????,?????,Max V Calc - t max [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OUT-,OUT-,best,OUT-,OUT-,best,good,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OUT-,OUT-,OUT-,OUT-,,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,-11200,-11400,-15000,-25000,-9400,-108800,-92400,?????,?????,?????,?????,?????,Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.958,0.973,0.995,0.997,0.928,0.989,0.88,?????,?????,?????,?????,?????,R-Squared [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:04:06,0:01:06,0:02:06,0:03:06,0:01:36,0:01:36,0:03:06,?????,?????,?????,?????,?????,t at Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:01:18,0:00:13,0:00:32,0:00:58,0:00:26,0:00:11,0:01:08,?????,?????,?????,?????,?????,Lagtime [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:03:06,0:00:06,0:01:06,0:02:06,0:00:36,0:00:36,0:02:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
